order_placed,order_delivered
44,2022-08-01 10:24:37.388568374,2022-08-01 13:17:17.710892
45,2022-08-01 10:27:40.244753755,2022-08-01 13:16:42.160921
46,2022-08-01 10:34:30.907255570,2022-08-01 13:21:25.033937
47,2022-08-01 10:35:00.321299018,2022-08-01 13:25:56.174506
48,2022-08-01 10:42:28.635554514,2022-08-01 13:24:52.166982
49,2022-08-01 10:43:21.906774580,2022-08-01 13:33:30.843006
50,2022-08-01 10:45:52.783359157,2022-08-01 13:38:00.825414
51,2022-08-01 10:48:22.128264334,2022-08-01 13:42:48.180065
52,2022-08-01 10:49:31.144370007,2022-08-01 13:47:42.596479
53,2022-08-01 10:51:19.077778895,2022-08-01 13:44:44.564686
54,2022-08-01 10:51:55.032711177,2022-08-01 13:46:28.075263
55,2022-08-01 10:56:21.650344255,2022-08-01 13:48:52.862022
56,2022-08-01 11:04:23.486607160,2022-08-01 13:59:05.686413
57,2022-08-01 11:10:32.995272562,2022-08-01 13:56:28.025202
58,2022-08-01 11:14:07.029360323,2022-08-01 14:09:45.951570
59,2022-08-01 11:14:43.670813679,2022-08-01 14:07:57.061471
60,2022-08-01 11:20:23.282090957,2022-08-01 14:12:18.729337
61,2022-08-01 11:24:56.819504425,2022-08-01 14:10:14.080543
62,2022-08-01 11:30:43.602242948,2022-08-01 14:13:28.978046
63,2022-08-01 11:31:05.786681881,2022-08-01 14:13:03.300728
64,2022-08-01 11:32:11.577906377,2022-08-01 14:13:48.013961
65,2022-08-01 11:35:25.860985741,2022-08-01 14:14:42.808469
66,2022-08-01 11:37:29.848852473,2022-08-01 14:16:48.495308
67,2022-08-01 11:40:37.367530836,2022-08-01 14:21:47.152002
68,2022-08-01 11:54:41.306331198,2022-08-01 14:29:13.426127
69,2022-08-01 11:54:52.832293898,2022-08-01 14:37:33.002186
70,2022-08-01 11:59:09.303105106,2022-08-01 14:36:22.688522
71,2022-08-01 12:02:25.748920551,2022-08-01 14:35:37.422811
72,2022-08-01 12:04:11.193649836,2022-08-01 14:40:43.786080
73,2022-08-01 12:04:12.488973594,2022-08-01 14:36:55.400672
74,2022-08-01 12:04:40.357962001,2022-08-01 14:37:23.662555
75,2022-08-01 12:07:18.751967663,2022-08-01 14:36:55.336901
76,2022-08-01 12:07:28.302683188,2022-08-01 14:39:20.478536
77,2022-08-01 12:08:42.262123779,2022-08-01 14:49:27.724758
78,2022-08-01 12:09:11.036783483,2022-08-01 14:48:46.500344
79,2022-08-01 12:10:54.858831591,2022-08-01 14:56:10.412179
80,2022-08-01 12:15:57.866846630,2022-08-01 14:57:32.443406
81,2022-08-01 12:17:59.069211698,2022-08-01 14:56:12.543772
82,2022-08-01 12:23:17.541478694,2022-08-01 14:58:31.097289
83,2022-08-01 12:30:22.584640515,2022-08-01 15:01:59.658353
84,2022-08-01 12:30:38.774321476,2022-08-01 15:02:52.746271
85,2022-08-01 12:41:47.280940813,2022-08-01 15:09:56.088622
86,2022-08-01 12:43:14.001309815,2022-08-01 15:08:40.105155
87,2022-08-01 12:43:51.136601712,2022-08-01 15:09:56.559614
88,2022-08-01 12:45:38.937196463,2022-08-01 15:15:11.493543
89,2022-08-01 12:47:16.769626453,2022-08-01 15:18:33.100722
90,2022-08-01 12:50:04.589941467,2022-08-01 15:17:38.877973
91,2022-08-01 12:51:31.433261931,2022-08-01 15:21:05.432147
92,2022-08-01 13:00:29.833569610,2022-08-01 15:20:21.812860
93,2022-08-01 13:02:36.059762144,2022-08-01 15:27:14.722106
94,2022-08-01 13:15:05.875026155,2022-08-01 15:26:12.061625
95,2022-08-01 13:16:35.238516481,2022-08-01 15:31:09.463319
96,2022-08-01 13:17:24.201685833,2022-08-01 15:43:12.504709
97,2022-08-01 13:23:38.964910242,2022-08-01 15:34:25.219105
98,2022-08-01 13:23:50.434147210,2022-08-01 15:38:29.866468
99,2022-08-01 13:31:36.155464948,2022-08-01 15:41:12.361944
100,2022-08-01 13:34:31.394867116,2022-08-01 15:40:15.303897
101,2022-08-01 13:37:35.991984267,2022-08-01 15:45:00.595523
102,2022-08-01 13:42:22.185022952,2022-08-01 15:44:56.468614
103,2022-08-01 13:46:41.637939589,2022-08-01 15:49:43.911557
104,2022-08-01 13:46:50.127036862,2022-08-01 15:55:16.416455
105,2022-08-01 13:47:05.785156812,2022-08-01 15:51:58.498909
106,2022-08-01 13:47:30.931598196,2022-08-01 15:53:45.930836
107,2022-08-01 13:51:56.099640349,2022-08-01 16:00:58.911269
108,2022-08-01 13:52:00.961511428,2022-08-01 16:00:43.386391
109,2022-08-01 13:53:00.661760704,2022-08-01 16:02:40.722448
110,2022-08-01 13:54:31.289600687,2022-08-01 16:08:50.265536
111,2022-08-01 14:01:29.625792988,2022-08-01 16:11:10.375396
112,2022-08-01 14:07:32.948443218,2022-08-01 16:13:02.194627
113,2022-08-01 14:09:19.016299280,2022-08-01 16:19:12.470635
114,2022-08-01 14:09:47.681027783,2022-08-01 16:14:26.821777
115,2022-08-01 14:16:10.772810000,2022-08-01 16:19:20.991013
116,2022-08-01 14:18:56.405599463,2022-08-01 16:23:27.955553
117,2022-08-01 14:19:54.295381510,2022-08-01 16:26:24.228810
118,2022-08-01 14:22:23.134256346,2022-08-01 16:26:01.879347
119,2022-08-01 14:23:05.716062397,2022-08-01 16:20:48.084670
120,2022-08-01 14:26:07.395650144,2022-08-01 16:34:44.726304
121,2022-08-01 14:28:11.940217051,2022-08-01 16:36:26.555850
122,2022-08-01 14:28:52.475711499,2022-08-01 16:36:19.645681
123,2022-08-01 14:31:50.534060310,2022-08-01 16:33:51.112057
124,2022-08-01 14:33:39.712621347,2022-08-01 16:43:42.008627
125,2022-08-01 14:38:04.208943862,2022-08-01 16:49:58.160291
126,2022-08-01 14:47:30.245864179,2022-08-01 16:48:15.535430
127,2022-08-01 14:48:22.805836376,2022-08-01 16:49:04.875197
128,2022-08-01 14:48:32.827540884,2022-08-01 16:55:03.299659
129,2022-08-01 14:51:16.037050606,2022-08-01 16:48:48.003688
130,2022-08-01 14:55:48.035249953,2022-08-01 16:50:57.879845
131,2022-08-01 14:58:23.987780864,2022-08-01 16:59:22.697559
132,2022-08-01 15:03:33.456348950,2022-08-01 17:00:02.481281
133,2022-08-01 15:04:20.441621608,2022-08-01 17:01:44.341483
134,2022-08-01 15:05:09.728913620,2022-08-01 17:09:31.264665
135,2022-08-01 15:06:08.482508560,2022-08-01 17:09:13.759373
136,2022-08-01 15:21:58.556905601,2022-08-01 17:12:36.030632
137,2022-08-01 15:23:16.509762783,2022-08-01 17:17:13.207424
138,2022-08-01 15:26:42.750580114,2022-08-01 17:17:33.128749
139,2022-08-01 15:29:17.193891775,2022-08-01 17:16:53.334526
140,2022-08-01 15:35:29.737554525,2022-08-01 17:20:18.127767
141,2022-08-01 15:37:48.747485318,2022-08-01 17:21:28.211326
142,2022-08-01 15:38:53.108942866,2022-08-01 17:26:24.323591
143,2022-08-01 15:39:43.485480150,2022-08-01 17:27:28.995667
144,2022-08-01 15:40:37.513711393,2022-08-01 17:31:55.432121
145,2022-08-01 15:43:37.053573795,2022-08-01 17:36:06.180441
146,2022-08-01 15:43:38.981412078,2022-08-01 17:37:36.666233
147,2022-08-01 15:44:58.104041072,2022-08-01 17:38:29.711811
148,2022-08-01 15:47:52.681024584,2022-08-01 17:41:31.593098
149,2022-08-01 15:48:12.753405414,2022-08-01 17:47:08.466911
150,2022-08-01 16:00:17.499530871,2022-08-01 17:47:50.147355
151,2022-08-01 16:01:19.436782372,2022-08-01 17:46:27.730032
152,2022-08-01 16:03:04.355729849,2022-08-01 17:54:30.566310
153,2022-08-01 16:13:27.816306571,2022-08-01 17:54:49.393123
154,2022-08-01 16:21:32.576282196,2022-08-01 17:54:53.058681
155,2022-08-01 16:32:18.965993372,2022-08-01 18:00:29.383254
156,2022-08-01 16:32:52.341117096,2022-08-01 18:01:07.963556
157,2022-08-01 16:37:23.006797371,2022-08-01 18:02:40.826995
158,2022-08-01 16:37:24.700753289,2022-08-01 18:04:19.492852
159,2022-08-01 16:38:52.952766036,2022-08-01 18:10:22.722495
160,2022-08-01 16:42:23.848526259,2022-08-01 18:14:21.313845
161,2022-08-01 16:42:26.206650287,2022-08-01 18:19:42.631348
162,2022-08-01 16:47:53.036847445,2022-08-01 18:18:35.732008
163,2022-08-01 16:51:43.950864556,2022-08-01 18:21:23.523224
164,2022-08-01 16:54:55.538254988,2022-08-01 18:20:19.982742
165,2022-08-01 16:56:35.744040223,2022-08-01 18:23:10.095457
166,2022-08-01 16:58:09.483671599,2022-08-01 18:24:10.256711
167,2022-08-01 16:58:21.976019187,2022-08-01 18:25:21.674015
168,2022-08-01 17:00:19.229969924,2022-08-01 18:26:50.790678
169,2022-08-01 17:00:25.372872407,2022-08-01 18:34:07.098316
170,2022-08-01 17:03:32.499742390,2022-08-01 18:37:58.884158
171,2022-08-01 17:04:40.117307201,2022-08-01 18:44:53.138836
172,2022-08-01 17:05:32.162257213,2022-08-01 18:42:35.538376
173,2022-08-01 17:06:15.756015112,2022-08-01 18:44:52.768349
174,2022-08-01 17:07:40.451662847,2022-08-01 18:48:58.918744
175,2022-08-01 17:08:29.274131633,2022-08-01 18:49:07.637333
176,2022-08-01 17:08:42.842631484,2022-08-01 18:45:36.449325
177,2022-08-01 17:10:31.480700612,2022-08-01 18:47:47.851626
178,2022-08-01 17:12:17.565329203,2022-08-01 18:48:36.606819
179,2022-08-01 17:13:27.478285673,2022-08-01 18:58:40.162246
180,2022-08-01 17:13:44.699560833,2022-08-01 18:57:57.459237
181,2022-08-01 17:18:36.506408003,2022-08-01 19:04:00.376741
182,2022-08-01 17:21:20.960887148,2022-08-01 19:07:57.063243
183,2022-08-01 17:23:46.188180033,2022-08-01 19:06:51.845799
184,2022-08-01 17:27:39.969065213,2022-08-01 19:15:06.603318
185,2022-08-01 17:28:09.467620498,2022-08-01 19:09:20.875210
186,2022-08-01 17:28:13.017306294,2022-08-01 19:09:10.576593
187,2022-08-01 17:29:32.901859147,2022-08-01 19:12:21.906592
188,2022-08-01 17:32:28.185839580,2022-08-01 19:12:05.517806
189,2022-08-01 17:33:53.911952044,2022-08-01 19:16:00.893381
190,2022-08-01 17:37:53.539548377,2022-08-01 19:16:53.363158
191,2022-08-01 17:48:48.481033669,2022-08-01 19:17:03.125976
192,2022-08-01 17:49:36.103677822,2022-08-01 19:21:41.987767
193,2022-08-01 17:51:26.395706792,2022-08-01 19:29:34.008109
194,2022-08-01 17:52:29.574368964,2022-08-01 19:28:30.783187
195,2022-08-01 17:53:34.762265417,2022-08-01 19:29:47.998476
196,2022-08-01 17:54:34.066932828,2022-08-01 19:29:08.237055
197,2022-08-01 17:55:58.668953138,2022-08-01 19:29:12.247799
198,2022-08-01 17:56:45.220842619,2022-08-01 19:33:40.058531
199,2022-08-01 17:59:36.039042504,2022-08-01 19:34:32.549000
200,2022-08-01 18:01:02.348494118,2022-08-01 19:38:13.392853
201,2022-08-01 18:03:43.966679944,2022-08-01 19:43:53.348904
202,2022-08-01 18:04:10.993098493,2022-08-01 19:40:02.922635
203,2022-08-01 18:04:31.149511035,2022-08-01 19:42:55.575145
204,2022-08-01 18:04:32.560299306,2022-08-01 19:45:56.153890
205,2022-08-01 18:07:52.918912674,2022-08-01 19:55:03.915970
206,2022-08-01 18:08:55.569536387,2022-08-01 19:48:49.178031
207,2022-08-01 18:12:12.864276437,2022-08-01 19:51:46.570513
208,2022-08-01 18:19:05.738098913,2022-08-01 19:52:51.629890
209,2022-08-01 18:19:09.911924887,2022-08-01 19:54:55.823876
210,2022-08-01 18:23:39.407269978,2022-08-01 19:54:23.944789
211,2022-08-01 18:26:15.997208463,2022-08-01 19:54:24.181438
212,2022-08-01 18:26:56.142877069,2022-08-01 20:00:37.127245
213,2022-08-01 18:33:11.367173546,2022-08-01 20:07:25.779634
214,2022-08-01 18:35:48.859293751,2022-08-01 20:07:11.912937
215,2022-08-01 18:37:16.190213933,2022-08-01 20:09:52.383177
216,2022-08-01 18:39:14.026264857,2022-08-01 20:06:44.662879
217,2022-08-01 18:39:27.822346617,2022-08-01 20:12:15.563082
218,2022-08-01 18:40:04.864107525,2022-08-01 20:20:24.066484
219,2022-08-01 18:42:53.554699829,2022-08-01 20:16:26.059488
220,2022-08-01 18:43:13.069568721,2022-08-01 20:15:18.089999
221,2022-08-01 18:43:54.449551252,2022-08-01 20:16:13.265547
222,2022-08-01 18:46:46.105733999,2022-08-01 20:18:16.782554
223,2022-08-01 18:48:28.639072622,2022-08-01 20:20:06.243344
224,2022-08-01 18:49:25.329587934,2022-08-01 20:25:21.045852
225,2022-08-01 18:51:04.998244208,2022-08-01 20:25:32.824241
226,2022-08-01 19:03:12.566049559,2022-08-01 20:31:48.762685
227,2022-08-01 19:04:08.147296762,2022-08-01 20:34:51.627320
228,2022-08-01 19:06:24.555397309,2022-08-01 20:35:20.444242
229,2022-08-01 19:06:39.918561694,2022-08-01 20:37:54.837444
230,2022-08-01 19:08:03.272450536,2022-08-01 20:37:17.022105
231,2022-08-01 19:09:40.349746994,2022-08-01 20:41:25.175094
232,2022-08-01 19:11:45.008988766,2022-08-01 20:39:47.156314
233,2022-08-01 19:11:54.165877229,2022-08-01 20:43:47.531814
234,2022-08-01 19:11:56.387056973,2022-08-01 20:45:48.622737
235,2022-08-01 19:12:30.868038670,2022-08-01 20:48:38.705960
236,2022-08-01 19:12:56.135605216,2022-08-01 20:49:24.024181
237,2022-08-01 19:13:45.438242864,2022-08-01 20:50:42.040439
238,2022-08-01 19:18:25.045605859,2022-08-01 20:57:37.531033
239,2022-08-01 19:20:02.419113212,2022-08-01 20:57:41.486851
240,2022-08-01 19:20:27.303208023,2022-08-01 20:58:56.169794
241,2022-08-01 19:25:37.717102009,2022-08-01 21:00:56.423444
242,2022-08-01 19:26:06.672384437,2022-08-01 21:03:12.420686
243,2022-08-01 19:28:12.636562833,2022-08-01 21:02:20.220398
244,2022-08-01 19:29:29.229389631,2022-08-01 21:08:00.327476
245,2022-08-01 19:31:23.744711317,2022-08-01 21:11:33.010904
246,2022-08-01 19:31:41.998396228,2022-08-01 21:12:24.417664
247,2022-08-01 19:32:35.146974958,2022-08-01 21:14:25.519034
248,2022-08-01 19:32:58.725656556,2022-08-01 21:11:53.988781
249,2022-08-01 19:33:04.085472416,2022-08-01 21:21:44.652367
250,2022-08-01 19:34:13.732389479,2022-08-01 21:20:59.866539
251,2022-08-01 19:35:29.655473294,2022-08-01 21:21:47.031888
252,2022-08-01 19:37:12.840509516,2022-08-01 21:26:14.938694
253,2022-08-01 19:39:06.011957429,2022-08-01 21:26:34.506719
254,2022-08-01 19:44:54.024370646,2022-08-01 21:25:01.720520
255,2022-08-01 19:46:29.838277981,2022-08-01 21:30:00.248568
256,2022-08-01 19:47:34.234435799,2022-08-01 21:33:59.927589
257,2022-08-01 19:49:22.632754362,2022-08-01 21:29:39.354246
258,2022-08-01 19:54:58.240632072,2022-08-01 21:36:02.311985
259,2022-08-01 19:55:42.589181198,2022-08-01 21:39:56.544211
260,2022-08-01 19:57:07.598986442,2022-08-01 21:40:14.801425
261,2022-08-01 19:59:35.533638682,2022-08-01 21:41:29.092372
262,2022-08-01 20:00:27.009798566,2022-08-01 21:47:17.311461
263,2022-08-01 20:02:55.741268550,2022-08-01 21:49:34.813766
264,2022-08-01 20:10:18.313594749,2022-08-01 21:48:17.934024
265,2022-08-01 20:11:06.982683419,2022-08-01 21:51:23.401684
266,2022-08-01 20:15:59.665855766,2022-08-01 21:50:38.495513
267,2022-08-01 20:18:04.455397088,2022-08-01 21:52:52.741407
268,2022-08-01 20:18:23.567662507,2022-08-01 21:55:00.149306
269,2022-08-01 20:22:13.731681233,2022-08-01 21:59:56.603719
270,2022-08-01 20:22:48.010214593,2022-08-01 22:00:08.414789
271,2022-08-01 20:22:50.324284952,2022-08-01 22:07:02.301602
272,2022-08-01 20:26:08.275279673,2022-08-01 22:09:50.315055
273,2022-08-01 20:30:43.386992484,2022-08-01 22:05:26.155552
274,2022-08-01 20:31:17.964112993,2022-08-01 22:11:03.391212
275,2022-08-01 20:32:15.153397088,2022-08-01 22:11:02.076665
276,2022-08-01 20:32:44.879949788,2022-08-01 22:15:20.195946
277,2022-08-01 20:40:15.902131713,2022-08-01 22:15:18.630027
278,2022-08-01 20:41:07.944883380,2022-08-01 22:20:34.776233
279,2022-08-01 20:43:01.843543739,2022-08-01 22:18:30.868595
280,2022-08-01 20:45:49.935086646,2022-08-01 22:18:40.371438
281,2022-08-01 20:46:46.556779456,2022-08-01 22:25:00.958526
282,2022-08-01 20:52:28.848357777,2022-08-01 22:22:29.241959
283,2022-08-01 20:52:58.747026928,2022-08-01 22:24:52.475364
284,2022-08-01 20:54:45.015540885,2022-08-01 22:35:28.385972
285,2022-08-01 20:54:47.253248858,2022-08-01 22:37:11.972278
286,2022-08-01 20:59:01.437045742,2022-08-01 22:42:06.499916
287,2022-08-01 21:01:08.432505359,2022-08-01 22:40:42.812527
288,2022-08-01 21:02:43.249036658,2022-08-01 22:42:24.277518
289,2022-08-01 21:05:05.702063592,2022-08-01 22:40:19.957614
290,2022-08-01 21:05:30.342471868,2022-08-01 22:41:10.561973
291,2022-08-01 21:08:50.982216345,2022-08-01 22:43:44.638847
292,2022-08-01 21:15:24.934639848,2022-08-01 22:47:42.580261
293,2022-08-01 21:17:04.548026077,2022-08-01 22:50:11.660165
294,2022-08-01 21:18:17.426415533,2022-08-01 22:49:01.405214
295,2022-08-01 21:19:16.547329368,2022-08-01 22:47:55.905259
296,2022-08-01 21:23:13.024342260,2022-08-01 23:02:06.476101
297,2022-08-01 21:23:35.559894485,2022-08-01 23:00:44.098149
298,2022-08-01 21:25:05.712507025,2022-08-01 23:00:45.285919
299,2022-08-01 21:28:29.803102509,2022-08-01 23:02:10.853820
300,2022-08-01 21:36:13.340781181,2022-08-01 23:12:01.145508
301,2022-08-01 21:43:51.379748518,2022-08-01 23:09:03.868779
302,2022-08-01 21:45:10.648455330,2022-08-01 23:08:56.758470
303,2022-08-01 21:46:56.421382163,2022-08-01 23:12:24.942514
304,2022-08-01 21:50:42.415103466,2022-08-01 23:11:32.967970
305,2022-08-01 21:52:23.494331240,2022-08-01 23:12:04.782072
306,2022-08-01 21:54:13.420799850,2022-08-01 23:14:42.401388
307,2022-08-01 21:56:00.737181428,2022-08-01 23:19:33.156617
308,2022-08-01 21:56:56.180567533,2022-08-01 23:21:14.880761
309,2022-08-02 08:14:22.071664636,2022-08-02 08:28:10.813900
310,2022-08-02 08:35:44.605669959,2022-08-02 08:50:44.257487
311,2022-08-02 08:39:48.769980123,2022-08-02 08:50:52.526807
312,2022-08-02 08:55:06.527450849,2022-08-02 09:14:42.284513
313,2022-08-02 09:27:59.521806063,2022-08-02 09:40:22.234682
314,2022-08-02 10:10:41.858587022,2022-08-02 10:23:26.589932
315,2022-08-02 10:11:10.582110514,2022-08-02 10:25:43.381403
316,2022-08-02 10:18:10.848561645,2022-08-02 10:45:09.370690
317,2022-08-02 10:24:18.514813207,2022-08-02 10:47:16.834450
318,2022-08-02 10:37:07.241343277,2022-08-02 11:07:52.211670
319,2022-08-02 11:03:22.363097300,2022-08-02 11:19:19.686324
320,2022-08-02 11:05:40.215963489,2022-08-02 11:20:44.338872
321,2022-08-02 11:19:11.039231338,2022-08-02 11:33:16.610307
322,2022-08-02 11:42:46.625649624,2022-08-02 11:59:51.377180
323,2022-08-02 11:45:33.081085183,2022-08-02 12:00:44.584689
324,2022-08-02 11:55:39.230602838,2022-08-02 12:07:42.446709
325,2022-08-02 12:06:57.740873685,2022-08-02 12:20:28.383669
326,2022-08-02 12:22:49.325652338,2022-08-02 12:39:30.656398
327,2022-08-02 12:37:53.973033293,2022-08-02 12:55:24.455926
328,2022-08-02 12:39:18.369367875,2022-08-02 12:50:48.649611
329,2022-08-02 12:40:16.609957703,2022-08-02 12:54:02.692836
330,2022-08-02 12:45:06.936829766,2022-08-02 12:56:30.074616
331,2022-08-02 12:52:06.160493611,2022-08-02 13:06:50.329336
332,2022-08-02 12:53:06.731106848,2022-08-02 13:05:22.462527
333,2022-08-02 12:56:10.467806048,2022-08-02 13:08:36.893376
334,2022-08-02 12:58:27.498551663,2022-08-02 13:13:41.674932
335,2022-08-02 12:58:32.894314982,2022-08-02 13:20:30.183609
336,2022-08-02 13:04:55.513028392,2022-08-02 13:17:59.820789
337,2022-08-02 13:12:48.987776879,2022-08-02 13:25:13.239079
338,2022-08-02 13:17:56.814523900,2022-08-02 13:30:29.818362
339,2022-08-02 13:32:52.330015629,2022-08-02 13:50:26.146697
340,2022-08-02 13:36:59.128186317,2022-08-02 13:52:10.704027
341,2022-08-02 13:38:16.588540106,2022-08-02 13:52:46.318797
342,2022-08-02 14:08:49.884092366,2022-08-02 14:20:41.640532
343,2022-08-02 14:22:19.571026060,2022-08-02 14:36:40.009396
344,2022-08-02 14:23:39.167445066,2022-08-02 14:39:24.029146
345,2022-08-02 14:32:49.194851331,2022-08-02 14:44:27.349601
346,2022-08-02 14:39:53.632027576,2022-08-02 14:51:21.172941
347,2022-08-02 14:56:02.769018308,2022-08-02 15:12:32.590608
348,2022-08-02 14:57:18.253295053,2022-08-02 15:11:04.110845
349,2022-08-02 15:03:19.412547521,2022-08-02 15:16:08.918446
350,2022-08-02 16:13:19.868248909,2022-08-02 16:29:20.299584
351,2022-08-02 16:13:30.990260169,2022-08-02 16:26:32.647508
352,2022-08-02 16:29:22.378878149,2022-08-02 16:43:15.283543
353,2022-08-02 16:36:04.346748043,2022-08-02 16:47:43.891952
354,2022-08-02 16:41:33.819225000,2022-08-02 16:55:48.815274
355,2022-08-02 16:42:46.917473183,2022-08-02 16:55:56.736577
356,2022-08-02 16:43:43.205989052,2022-08-02 16:55:43.124199
357,2022-08-02 16:54:54.853636795,2022-08-02 17:06:30.493395
358,2022-08-02 17:07:17.556882467,2022-08-02 17:21:36.215093
359,2022-08-02 17:09:37.043613941,2022-08-02 17:22:47.245584
360,2022-08-02 17:11:24.275052098,2022-08-02 17:25:36.327187
361,2022-08-02 17:14:42.167382736,2022-08-02 17:29:31.436960
362,2022-08-02 17:14:51.352754752,2022-08-02 17:28:49.293810
363,2022-08-02 17:17:11.310683615,2022-08-02 17:37:22.783009
364,2022-08-02 17:18:07.909613642,2022-08-02 17:32:54.581606
365,2022-08-02 17:23:51.493973441,2022-08-02 17:36:44.430446
366,2022-08-02 17:26:31.583976100,2022-08-02 17:40:41.903056
367,2022-08-02 17:29:00.863201318,2022-08-02 17:41:11.967645
368,2022-08-02 17:38:47.815154194,2022-08-02 17:54:07.687511
369,2022-08-02 17:43:26.363118850,2022-08-02 17:56:20.607164
370,2022-08-02 17:43:31.528110386,2022-08-02 17:58:37.901201
371,2022-08-02 17:45:42.513153194,2022-08-02 17:57:27.471962
372,2022-08-02 17:51:47.266910298,2022-08-02 18:06:46.768531
373,2022-08-02 17:52:50.545071960,2022-08-02 18:09:47.425158
374,2022-08-02 17:57:33.816790150,2022-08-02 18:11:04.698069
375,2022-08-02 18:01:10.978915977,2022-08-02 18:18:02.948205
376,2022-08-02 18:01:38.091793172,2022-08-02 18:16:14.106864
377,2022-08-02 18:06:40.476035623,2022-08-02 18:22:55.444737
378,2022-08-02 18:11:47.449684753,2022-08-02 18:27:28.450266
379,2022-08-02 18:20:20.370054517,2022-08-02 18:31:11.827492
380,2022-08-02 18:21:52.054823459,2022-08-02 18:38:00.490102
381,2022-08-02 18:25:40.926534349,2022-08-02 18:41:23.620756
382,2022-08-02 18:28:36.400333762,2022-08-02 18:41:26.831370
383,2022-08-02 18:37:05.795533005,2022-08-02 18:50:24.372189
384,2022-08-02 18:38:55.926714077,2022-08-02 18:55:23.254935
385,2022-08-02 18:40:13.998348816,2022-08-02 18:54:22.921436
386,2022-08-02 18:47:32.650165890,2022-08-02 19:00:00.933353
387,2022-08-02 18:51:55.497030579,2022-08-02 19:05:05.011770
388,2022-08-02 18:52:28.572244118,2022-08-02 19:04:57.300747
389,2022-08-02 18:53:57.971577857,2022-08-02 19:06:07.664696
390,2022-08-02 19:02:29.094734648,2022-08-02 19:18:10.432084
391,2022-08-02 19:04:34.900175481,2022-08-02 19:19:08.557362
392,2022-08-02 19:05:31.041745808,2022-08-02 19:21:04.865816
393,2022-08-02 19:09:26.603420768,2022-08-02 19:22:18.702618
394,2022-08-02 19:15:30.944061635,2022-08-02 19:27:31.934057
395,2022-08-02 19:16:44.350154409,2022-08-02 19:35:58.475967
396,2022-08-02 19:19:45.317342458,2022-08-02 19:33:02.264489
397,2022-08-02 19:20:32.017028020,2022-08-02 19:32:29.654534
398,2022-08-02 19:20:35.936388621,2022-08-02 19:33:05.536673
